Player,Match,Balls Faced,Wickets,Runs,Balls Bowled,Maiden Overs,Fours,Sixes
Mukhtar Ahmed (PAK),6,6,0,192,134,0,23,5
R Rohan (SGP),10,10,0,191,156,1,23,6
Ahmed Hassan (Mald),11,10,0,189,192,0,18,2
SR Patel (ENG),18,14,2,189,173,2,17,5
IR Bell (ENG),8,8,1,188,163,0,23,2
CD McMillan (NZ),8,7,1,187,117,0,8,14
SP Patil (UAE),18,13,0,187,218,3,16,4
JDS Neesham (NZ),18,15,4,185,131,1,19,8
Umar Adam (Mald),11,10,1,185,149,1,19,6
BJ Hodge (AUS),15,11,4,183,144,0,9,7
XM Marshall (USA/WI),13,13,0,183,185,2,13,6
Mosaddek Hossain (BDESH),14,13,4,183,173,1,10,5
Mohammad Rizwan (PAK),16,13,2,180,184,1,14,2
C Tommy (VAN),12,11,0,180,191,2,6,8
CAJ Meschede (GER),5,5,1,179,115,1,9,14
Nazimuddin (BDESH),7,7,0,178,158,2,13,10
Kaleem Shah (Moz),7,7,1,176,170,1,21,4
Mohammad Naveed (UAE),31,24,10,176,147,3,17,8
MR Marsh (AUS),11,11,3,175,151,0,7,9
LPC Silva (SL),16,15,2,175,177,0,19,3
NN Odhiambo (KENYA),24,20,2,174,177,3,17,4
L Vincent (NZ),9,9,0,174,174,1,17,3
Karan KC (NEPAL),25,16,5,173,126,2,9,12
Nouman Sarwar (QAT),14,9,6,172,128,1,16,6
IK Pathan (INDIA),24,14,7,172,144,0,9,7
HAM Shah (DEN),9,8,0,172,168,0,18,2
GD Elliott (NZ/World),17,15,4,171,157,0,12,2
Simi Singh (IRE),18,17,2,169,144,5,12,6
M Vijay (INDIA),9,9,0,169,154,1,13,8
ME Trescothick (ENG),3,3,0,166,131,0,23,1
DJ Willey (ENG),28,19,7,166,126,1,8,10
Umar Gul (PAK),60,27,9,165,156,6,11,10
Tarun Sharma (Mex),8,8,1,164,160,1,12,6
TN de Grooth (NL),15,13,5,163,155,0,16,1
RA Jadeja (INDIA),46,22,8,163,165,2,7,4
TWM Latham (NZ),13,10,0,163,157,0,12,2
PD Hennessy (ESP),8,7,0,162,132,1,11,7
H Davids (SA),9,9,0,161,134,2,18,4
NMS Param (SGP),8,7,2,160,118,0,12,6
RW Chakabva (ZIM),12,12,1,159,134,4,12,7
JP Faulkner (AUS),24,18,7,159,138,0,7,5
MC Henriques (AUS),11,8,3,159,122,0,8,7
Junaid Siddique (BDESH),7,7,0,159,108,1,16,7
A Mansale (VAN),14,14,0,159,151,4,14,5
Mohamed Arief (MAL),5,5,1,159,114,0,18,4
RR Watson (SCOT),10,9,0,159,141,1,22,1
JL Ontong (SA),14,10,0,158,109,1,6,11
Mudassar Bukhari (NL),38,26,8,157,152,1,10,4
HL Carlyon (JER),9,8,0,156,131,1,21,3
H Klaasen (SA),9,9,2,156,107,0,8,11
SP Narine (WI),51,23,8,155,138,2,13,5
NA Greenwood (JER),8,8,0,154,128,1,15,2
MR Adair (IRE),17,14,4,152,118,1,8,7
NG Collins (Fin),5,5,0,151,164,0,10,0
HD Rutherford (NZ),8,7,0,151,105,1,12,9
NM Coulter-Nile (AUS),28,15,4,150,120,3,10,10
Iftikhar Ahmed (PAK),6,6,4,150,104,0,14,4
Rashid Khan (AFG/ICC),45,22,11,149,124,4,9,9
VB Chikkannaiah (GER),7,7,1,148,167,0,10,2
WIA Fernando (SL),10,10,0,148,156,1,9,3
O Bascome (BMUDA),11,11,0,147,147,1,12,8
CD Wallace (SCOT),19,14,6,146,122,1,14,2
Karim Janat (AFG),21,13,2,145,140,2,11,6
Wahab Riaz (PAK),31,17,6,145,118,2,10,6
M Klinger (AUS),3,3,0,143,112,0,12,2
Mohammad Naim (BDESH),3,3,0,143,107,0,17,3
Ehsan Khan (HKG),15,10,6,142,128,0,9,7
KMA Paul (WI),18,12,5,142,123,0,8,8
Umar Amin (PAK),14,9,0,142,123,3,15,4
Faran Afzal (ESP),9,8,1,141,140,0,11,6
Sarfaraz Ali (BAH),4,4,0,141,87,0,17,8
S Periyalwar (ROM),4,4,2,140,91,1,15,6
GD Phillips (NZ),11,10,1,140,140,0,9,5
S Pokhriyal (CZK-R),5,4,0,140,131,0,23,2
Riazat Ali Shah (UGA),4,4,2,140,108,0,8,8
AC Voges (AUS),7,5,2,139,114,0,8,2
AC Douglas (BMUDA),10,9,1,138,131,0,10,8
LB Ferbrache (GUE),9,8,0,138,142,0,6,3
IJL Trott (ENG),7,7,1,138,144,0,9,3
KD Mills (NZ),42,19,7,137,123,4,11,5
HH Patel (MWI),7,6,1,137,104,0,17,3
R Tari (VAN),14,14,5,137,117,2,6,5
DF Watts (SCOT),11,9,0,137,127,2,13,3
AR White (IRE),18,12,6,137,128,0,12,2
Yusuf Ebrahim (PNM),3,3,1,137,97,0,14,5
MP Stoinis (AUS),19,14,5,136,117,1,14,2
Faisal Khan (Saudi),4,4,1,134,56,1,13,10
N Pathan (THAI),4,4,1,134,106,0,8,7
Faheem Ashraf (PAK),27,18,6,133,110,4,7,8
CH Morris (SA),23,13,4,133,102,3,12,5
Awais Ahmed (ESP),9,4,2,131,101,0,6,6
GEF Barnett (CAN),5,5,1,131,136,0,16,0
PBB Rajapaksa (SL),5,5,1,131,95,0,7,9
AC Botha (IRE),14,11,1,130,141,2,12,1
DDP D'Silva (UAE),10,8,4,130,146,1,9,0
SS McKechnie (HKG),10,10,3,130,137,1,9,1
Naeem Islam (BDESH),10,10,1,130,114,0,8,7
CT Mutombodzi (ZIM),13,12,3,129,133,2,9,2
SL Malinga (SL),79,30,12,128,153,6,9,4
Mirwais Ashraf (AFG),25,19,8,128,115,2,5,8
HR Walsh (USA/WI),13,9,1,128,129,0,8,3
CK Coventry (ZIM),13,12,2,127,90,2,14,6
PG Fulton (NZ),12,12,1,127,140,2,7,6
MA Ouma (KENYA),22,19,1,127,160,3,15,1
MJ Prior (ENG),10,8,2,127,100,1,11,5
MWR Stokes (GUE),9,7,0,127,152,0,10,0
Najjam Shahzad (PORT),4,3,2,126,97,0,4,10
AJ Redmond (NZ),7,6,0,126,84,0,19,2
JT Smuts (SA),8,8,0,126,114,1,14,5
AT Carey (AUS),25,13,4,125,101,0,10,4
Amir Mangal (GER),9,9,3,124,78,0,10,8
Mohammed Asghar (KUW),4,4,0,124,91,0,13,5
S Muniandy (MAL),15,13,4,124,103,2,7,7
BA Pai (GIBR),4,4,0,124,141,0,6,1
RJ Peterson (SA),21,12,4,124,113,1,13,2
R Ashwin (INDIA),46,11,7,123,115,0,14,1
AD Mascarenhas (ENG),14,13,5,123,100,3,8,5
SM Sharif (SCOT),42,18,9,123,100,2,8,3
AW Hawkins-Kay (JER),16,13,5,122,136,1,8,0
KM Jadhav (INDIA),9,6,0,122,99,0,12,3
Muhamad Syahadat (MAL),10,9,3,122,102,0,9,6
CN Onwuzulike (NGA),9,9,1,122,126,2,5,5
Shadab Khan (PAK),38,14,5,122,96,2,6,6
DAJ Bracewell (NZ),18,10,5,121,83,2,6,9
KH Pandya (INDIA),18,9,4,121,92,0,8,6
DR Martyn (AUS),4,4,0,120,74,0,11,5
Imrul Kayes (BDESH),14,13,0,119,134,4,14,3
AA Onikoyi (NGA),9,8,0,119,144,1,8,4
SCJ Broad (ENG),56,26,10,118,118,2,7,3
Sajid Cheema (Saudi),5,5,0,118,97,0,12,5
JE Taylor (WI),30,15,6,118,92,1,10,6
Mehran Khan (OMAN),19,13,2,117,106,1,7,5
Mohammad Mithun (BDESH),14,10,0,117,125,2,9,4
Naseem Khushi (OMAN),10,8,2,117,77,2,6,8
H Singh (GER),7,6,3,117,102,0,6,3
Ziaur Rahman (BDESH),14,12,3,117,91,3,3,10
Aritra Dutta (SGP),8,8,0,116,114,0,8,5
Shahzaib Hasan (PAK),10,10,0,116,130,3,13,3
K Motlhanka (Botsw),7,7,0,115,123,0,11,2
Sami Sohail (MWI),7,5,4,115,97,0,10,2
