Player,Match,Balls Faced,Wickets,Runs,Balls Bowled,Maiden Overs,Fours,Sixes
PJ Hughes (AUS),1,1,0,6,8,0,1,0
Javed Ahmadi (AFG),3,2,0,6,7,1,1,0
Jay Odedra (OMAN),3,1,1,6,6,0,0,0
D Maisuria (Botsw),6,3,2,6,11,1,0,0
I Master (Botsw),2,2,0,6,8,0,1,0
Z McLaughlin (Caym),3,2,2,6,16,0,0,0
KO Meth (ZIM),2,1,1,6,6,0,0,0
J Mulder (IRE),8,4,2,6,11,1,0,0
GBW Munaweera (QAT),5,1,1,6,7,0,0,0
L Ngidi (SA),7,2,1,6,9,0,0,0
Omar Hayat (DEN),2,2,0,6,4,0,0,0
JA Rudolph (SA),1,1,1,6,7,0,0,0
Shoaib Ali (Saudi),5,2,0,6,10,1,0,0
OF Smith (WI),2,1,0,6,5,0,1,0
R Strydom (IRE),4,2,1,6,7,0,0,0
HER Tyler (PHI),2,1,0,6,9,0,0,0
TC Vine (ESP),6,1,1,6,7,0,1,0
CA Young (IRE),26,7,5,6,11,0,0,0
SA Abbott (AUS),4,1,0,5,8,0,1,0
M Ansari (OMAN),11,4,4,5,10,0,0,0
Anwar Rahman (MAL),9,4,1,5,8,1,0,0
Arslan Ahmed (),3,1,0,5,13,0,0,0
MS Atapattu (SL),2,1,0,5,8,0,0,0
Atif Mehmood (ESP),9,2,2,5,8,0,0,0
MA Baig (MWI),7,4,0,5,12,3,1,0
A Bhagwat (HKG),4,4,0,5,16,1,0,0
A Bohara (NEPAL),17,5,2,5,12,2,0,0
IG Butler (NZ),19,6,5,5,10,0,0,0
T Caruana (GIBR),2,1,0,5,13,0,0,0
Hasheem Shahzad (MALTA),2,2,0,5,9,1,1,0
Imran Ali (KUW),4,2,1,5,6,1,0,0
Junaid Siddique (UAE),8,4,1,5,17,1,0,0
I Katzarski (),3,2,0,5,12,0,0,0
D Kegasitswe (Botsw),4,2,2,5,11,0,0,0
TCR Kimber (GUE),3,3,0,5,13,0,0,0
A Krishna (SGP),4,2,1,5,3,0,1,0
AM McCarthy (WI),1,1,0,5,8,0,0,0
GD McGrath (AUS),2,1,0,5,12,0,0,0
CS Martin (NZ),6,1,1,5,6,0,0,0
Mohammad Hasnain (PAK),4,3,2,5,12,0,1,0
Mohammad Salman (PAK),1,1,0,5,6,0,0,0
A Morris (Caym),6,4,2,5,17,1,0,0
GRD Munasinghe (ITA),8,4,1,5,13,2,1,0
T Mupariwa (ZIM),4,2,2,5,3,0,0,0
N M'shangwe (ZIM),5,2,1,5,4,1,1,0
A Nanda (LUX),3,1,0,5,5,0,1,0
GM Ntambalika (MWI),3,1,0,5,11,0,0,0
Parvez Rasool (INDIA),1,1,0,5,6,0,0,0
NK Patel (USA),4,2,1,5,10,1,0,0
D Paterson (SA),8,2,1,5,2,0,1,0
JL Pattinson (AUS),4,2,2,5,3,0,1,0
JE Pitcher (BMUDA),3,1,1,5,4,0,0,0
AG Prince (SA),1,1,0,5,6,0,0,0
K Rabada (SA),21,4,2,5,12,2,0,0
RJ Ranpura (OMAN),3,2,2,5,8,0,0,0
BM Scholtz (NAM),14,4,3,5,10,1,0,0
RJ Sidebottom (ENG),18,1,1,5,4,0,1,0
M Spry (Peru),4,2,1,5,11,0,0,0
R Telemachus (SA),3,1,1,5,3,0,0,0
BM Tickner (NZ),3,1,1,5,6,0,0,0
DR Tuffey (NZ),3,2,1,5,5,1,1,0
C Vorster (GUE),1,1,0,5,8,0,0,0
TD Astle (NZ),3,2,0,4,10,0,0,0
Baljit Singh (ITA),8,3,0,4,16,1,0,0
GJ Batty (ENG),1,1,0,4,7,0,0,0
P Bharat Patel (PNM),2,1,1,4,7,0,0,0
SR Bhudia (KENYA),4,3,1,4,16,1,0,0
JAR Blain (SCOT),6,3,1,4,5,1,0,0
CJ Boyce (AUS),7,2,1,4,7,0,0,0
PR Brown (ENG),4,1,1,4,9,0,0,0
NM Carter (SCOT),7,2,0,4,12,0,0,0
YS Chahal (INDIA),36,3,2,4,9,0,0,0
PC Connell (IRE),9,3,2,4,7,1,0,0
PA Desai (CAN),1,1,1,4,7,0,0,0
AB Dursak (TKY),4,4,0,4,24,2,0,0
C Emmott (Chile),2,2,0,4,11,1,0,0
Farhan Ahmed (UAE),3,1,0,4,8,0,0,0
K Gore (USA),4,1,1,4,3,0,0,0
Ibrahim Rizan (Mald),5,3,1,4,14,0,0,0
Imran Haider (UAE),11,2,2,4,8,0,0,0
H Ivanov (),3,1,0,4,6,0,0,0
A Karn (NEPAL),2,1,0,4,7,0,0,0
MF Koc (TKY),2,2,1,4,15,1,0,0
CBRLS Kumara (SL),3,1,0,4,2,0,1,0
CK Langeveldt (SA),9,3,2,4,8,0,0,0
NM Lyon (AUS),2,1,1,4,4,0,0,0
RT Lyons (SCOT),2,2,0,4,17,1,0,0
GE Mathurin (WI),3,2,2,4,5,0,0,0
Mohammad Irfan (PAK),22,4,4,4,8,0,0,0
Mohammad Tauqir (UAE),3,2,1,4,6,0,1,0
Muhammad Khurram (MWI),5,3,0,4,20,1,0,0
Muhammad Rafique (BAH),2,1,0,4,5,0,0,0
JM Muirhead (AUS),5,2,1,4,8,0,0,0
Nazmus Sadat (BDESH),1,1,0,4,3,0,0,0
JO Ngoche (KENYA),7,3,1,4,17,0,0,0
Pavandeep Singh (MAL),10,4,3,4,7,0,0,0
Qasim Zia (BAH),3,1,1,4,1,0,1,0
NJ Reardon (AUS),2,1,0,4,8,0,0,0
CB Sole (SCOT),4,1,1,4,2,0,1,0
CR Suryawanshi (SGP),3,2,0,4,6,1,0,0
K Suttisan (THAI),2,2,0,4,5,1,1,0
SP Terry (IRE),1,1,0,4,6,0,0,0
T Thushara (SL),6,2,0,4,8,0,0,0
T Tshose (Botsw),2,2,2,4,6,0,0,0
T Ulutuna (TKY),3,3,0,4,9,2,1,0
S Vashisht (ROM),3,1,0,4,6,0,1,0
Abu Jayed (BDESH),3,2,0,3,7,0,0,0
GJ Agius (MALTA),2,2,0,3,15,1,0,0
Amir Hayat (UAE),4,2,0,3,6,1,0,0
Amjad Mahboob (SGP),11,5,1,3,14,2,0,0
A Aspiotis (),3,1,1,3,4,0,0,0
MC Bascombe (WI),1,1,0,3,7,0,0,0
P Bhart (NOR),5,3,2,3,17,1,0,0
S Byrne (MALTA),2,2,0,3,9,1,0,0
CL Cairns (NZ),2,2,0,3,13,0,0,0
D de la Puente (Peru),2,2,1,3,7,0,0,0
ST de Silva (SL),3,2,0,3,7,1,0,0
Fahad Ali (),3,3,0,3,14,1,0,0
Fawad Ahmed (AUS),2,1,1,3,5,0,0,0
Fida Hussain (ITA),2,1,1,3,4,0,0,0
WT Gavera (PNG),6,2,0,3,6,0,0,0
JOA Gordon (CAN),7,2,2,3,6,0,0,0
AM Guruge (UAE),5,3,2,3,8,0,0,0
Ibrahim Nashath (Mald),3,2,1,3,5,1,0,0
Javed Maroofkhail (NOR),2,1,0,3,8,0,0,0
Junaid Khan (PAK),9,2,2,3,4,0,0,0
MS Kasprowicz (AUS),2,1,1,3,5,0,0,0
GJP Kruger (SA),1,1,0,3,5,0,0,0
Mahmad Data (PNM),2,1,0,3,5,0,0,0
Nazmul Hossain (BDESH),4,2,2,3,15,0,0,0
R Olipa (UGA),2,1,0,3,4,0,0,0
M Patel (PNM),2,1,1,3,6,0,0,0
LN Rajbanshi (NEPAL),12,2,1,3,7,0,0,0
KAJ Roach (WI),11,1,1,3,2,0,0,0
MM Sharma (INDIA),8,2,2,3,7,0,0,0
LA Simango (Moz),3,2,1,3,4,0,0,0
RP Singh (INDIA),10,2,2,3,3,0,0,0
MJ Swepson (AUS),1,1,1,3,4,0,0,0
Tauqeer Hussain (ESP),4,1,1,3,3,0,0,0
R Ulutuna (TKY),4,4,0,3,16,1,0,0
SMK Waththage (CZK-R),5,1,0,3,5,0,0,0
Zahid Hussain (CAN),3,2,2,3,8,0,0,0
Abdullah Mahmood (DEN),1,1,0,2,2,0,0,0
AG Achar (SGP),3,2,2,2,2,0,0,0
N Advani (GIBR),1,1,0,2,4,0,0,0
Aftab Alam (AFG),12,5,3,2,9,1,0,0
Areeb Quadir (Fin),2,1,0,2,12,0,0,0
Arshad Hayat (CZK-R),6,2,0,2,7,1,0,0
KMC Bandara (SL),1,1,1,2,4,0,0,0
Bashir Shah (DEN),4,2,2,2,2,0,0,0
A Bhattarai (NEPAL),1,1,0,2,3,0,0,0
JP Bray (IRE),2,2,0,2,17,1,0,0
GB Brent (ZIM),3,1,0,2,5,0,0,0
P Buccimazza (PORT),4,2,0,2,13,0,0,0
A Carthew (Chile),4,1,1,2,2,0,0,0
S Chophel (BHU),1,1,1,2,5,0,0,0
H Dajc (Serb),2,2,1,2,3,1,0,0
Dawlat Ahmadzai (AFG),2,1,1,2,3,0,0,0
MVT Fernando (SL),1,1,0,2,2,0,0,0
C Fry (LUX),3,1,0,2,6,0,0,0
BD Glover (NL),19,4,3,2,8,1,0,0
Jandu Hamoud (KUW),6,1,0,2,4,0,0,0
RJ Harris (AUS),3,1,1,2,1,0,0,0
BW Hilfenhaus (AUS),7,3,1,2,10,1,0,0
A Husain (Arg),5,1,1,2,1,0,0,0
Ilyas Ahmed (KUW),6,3,2,2,3,0,0,0
AJ Ireland (ZIM),1,1,1,2,3,0,0,0
S Kansoy (TKY),4,4,0,2,7,3,0,0
A Khan (ENG),1,1,0,2,4,0,0,0
RJ Kirtley (ENG),1,1,1,2,4,0,0,0
I Lisboa (Chile),1,1,0,2,3,0,0,0
J Long (PHI),2,1,1,2,6,0,0,0
T Lungameni (NAM),6,1,1,2,2,0,0,0
MJ Mason (NZ),3,1,0,2,2,0,0,0
Muslim Yar (GER),7,1,0,2,6,0,0,0
S Nadigotla (ROM),2,1,0,2,6,0,0,0
Najeeb Amar (HKG),1,1,0,2,9,0,0,0
W Nalisa (VAN),9,3,2,2,4,1,0,0
Nazwan Ismail (Mald),3,1,1,2,2,0,0,0
A Ndlovu (ZIM),3,1,0,2,4,0,0,0
K Nima (BHU),1,1,1,2,3,0,0,0
Noman Kamawi (Belg),1,1,0,2,7,0,0,0
L Nou (PNG),3,1,1,2,3,0,0,0
S Saeed (Mald),5,1,0,2,4,0,0,0
Saqlain Ali (Belg),2,1,0,2,6,0,0,0
Shoaib Gazi Hossain (Chile),4,1,0,2,5,0,0,0
Suhrid Roy (MALTA),1,1,1,2,3,0,0,0
A Tripathi (Mex),3,2,2,2,4,0,0,0
LL Tsotsobe (SA),23,3,2,2,10,0,0,0
Usman Shinwari (PAK),16,3,3,2,3,0,0,0
S Vijayakumar (SGP),9,2,0,2,5,0,0,0
R Vinay Kumar (INDIA),9,1,1,2,4,0,0,0
Waqar Khan (Peru),4,2,1,2,3,1,0,0
Waqas Raja (Fin),1,1,1,2,2,0,0,0
UWMBCA Welegedara (SL),2,1,1,2,3,0,0,0
BTJ Wheal (SCOT),5,2,2,2,2,0,0,0
UT Yadav (INDIA),7,1,0,2,4,0,0,0
Zaheer Maqsood (UAE),3,1,0,2,5,0,0,0
Z Abbasi (Botsw),1,1,0,1,5,0,0,0
KK Ahmed (INDIA),14,1,1,1,1,0,0,0
J Allen (),2,2,1,1,4,1,0,0
HS Alta (TKY),4,4,1,1,10,3,0,0
JM Anderson (ENG),19,4,3,1,2,1,0,0
B Angeltti (Arg),3,1,0,1,4,0,0,0
V Ateak (Ghana),4,1,1,1,2,0,0,0
Awais Malik (QAT),11,4,0,1,4,3,0,0
Babar Ali (BAH),3,1,1,1,1,0,0,0
DE Bernard (WI),1,1,1,1,1,0,0,0
S Bhari (NEPAL),6,3,2,1,5,1,0,0
DE Bollinger (AUS),9,2,2,1,1,0,0,0
DR Brown (SCOT),2,1,0,1,5,0,0,0
N Buckle (GUE),3,1,1,1,1,0,0,0
DL Chahar (INDIA),10,2,2,1,1,0,0,0
R Dhawan (INDIA),1,1,1,1,2,0,0,0
Dhiman Ghosh (BDESH),1,1,0,1,2,0,0,0
HH Dippenaar (SA),1,1,0,1,5,0,0,0
B Dugic (Serb),2,1,0,1,4,0,0,0
GDR Eranga (CAN),9,1,0,1,1,0,0,0
AC Evans (SCOT),27,6,1,1,10,5,0,0
LH Ferguson (NZ),8,1,0,1,3,0,0,0
P Florin (ROM),4,2,1,1,1,1,0,0
MD Garratt (GIBR),4,2,1,1,5,0,0,0
A Gavde (Caym),1,1,0,1,6,0,0,0
O Goker (TKY),1,1,1,1,1,0,0,0
Hashmatullah Shahidi (AFG),1,1,1,1,1,0,0,0
GM Hyde (Blz),3,1,0,1,6,0,0,0
JS Jesani (KENYA),1,1,0,1,5,0,0,0
MBS Jonkman (NL),3,1,0,1,8,0,0,0
B Khumalo (Botsw),3,1,0,1,3,0,0,0
GE Kidd (IRE),1,1,1,1,1,0,0,0
VJ Kingma (NL),4,2,1,1,5,0,0,0
DS Kulkarni (INDIA),2,1,1,1,1,0,0,0
A Lagos (),1,1,1,1,4,0,0,0
J Lewis (ENG),2,2,1,1,4,0,0,0
J Louw (SA),2,1,1,1,1,0,0,0
R Mahajan (PHI),3,1,1,1,1,0,0,0
SI Mahmood (ENG),4,2,2,1,2,0,0,0
RD McCann (IRE),3,1,0,1,2,0,0,0
MR Montfort (CAN),1,1,1,1,1,0,0,0
Muhammed Shanil (UAE),1,1,1,1,3,0,0,0
M Muralitharan (SL),12,2,0,1,5,1,0,0
B Muzarabani (ZIM),6,3,2,1,5,1,0,0
M Nasim Baras (AFG),3,1,0,1,2,0,0,0
A Nathwani (Aut),5,1,1,1,1,0,0,0
R Neale (LUX),3,2,0,1,6,1,0,0
ML Nkala (ZIM),1,1,0,1,3,0,0,0
MS Panesar (ENG),1,1,0,1,2,0,0,0
SD Parry (ENG),5,1,0,1,1,0,0,0
MDK Perera (SL),3,2,0,1,6,1,0,0
DBL Powell (WI),5,1,1,1,1,0,0,0
EC Rainsford (ZIM),2,1,1,1,2,0,0,0
KB Ratilal (PNM),3,1,1,1,2,0,0,0
EB Ringera (KENYA),1,1,0,1,3,0,0,0
WJR Robertson (JER),6,2,2,1,2,0,0,0
BA Sambo (Moz),2,1,1,1,1,0,0,0
O Sam Arthur (CRC),3,2,1,1,1,0,0,0
Sandeep Sharma (INDIA),2,1,1,1,1,0,0,0
M Sarenac (Serb),2,1,0,1,2,0,0,0
Sayed Shirzad (AFG),4,1,0,1,2,0,0,0
ZK Shem (VAN),5,2,2,1,4,0,0,0
PM Siddle (AUS),2,1,1,1,1,0,0,0
KM Silva (),3,2,0,1,6,1,0,0
Sohail Khan (PAK),5,1,1,1,1,0,0,0
Sohrawordi Shuvo (BDESH),1,1,1,1,3,0,0,0
AL Stephen (VAN),2,1,0,1,2,0,0,0
EP Thompson (NZ),1,1,1,1,1,0,0,0
RJW Topley (ENG),6,1,1,1,2,0,0,0
TE Tucker (BMUDA),1,1,0,1,5,0,0,0
T Turan (TKY),4,4,0,1,17,3,0,0
R van der Merwe (Arg),5,2,2,1,1,0,0,0
I Wardlaw (SCOT),4,1,0,1,3,0,0,0
Wasim Ali (OMAN),1,1,0,1,4,0,0,0
G Wijekoon (SL),3,2,1,1,5,1,0,0
JD Wildermuth (AUS),2,1,1,1,1,0,0,0
Yamin Ahmadzai (AFG),2,1,1,1,1,0,0,0
Zaki Ul Hassan (Belg),3,1,0,1,2,0,0,0
Zeeshan Abbas (BAH),1,1,0,1,4,0,0,0
Abdul Shakoor (ROM),2,1,0,0,3,1,0,0
AS Abioye (NGA),5,1,1,0,0,0,0,0
Aizaz Cheema (PAK),5,1,1,0,3,0,0,0
C Akyuz (TKY),2,2,0,0,3,2,0,0
Ali Naqi (PORT),4,1,1,0,0,0,0,0
MA Aponso (SL),3,1,0,0,2,1,0,0
S Arachchige (ITA),4,1,0,0,2,1,0,0
Ashiqullah Said (Belg),3,1,0,0,1,1,0,0
SK Atai (PNG),2,1,0,0,1,1,0,0
MS Aulakh (CAN),3,1,0,0,2,1,0,0
CT Bancroft (AUS),1,1,1,0,0,0,0,0
M Bhanuka (SL),2,1,0,0,1,1,0,0
IDR Bradshaw (WI),1,1,1,0,0,0,0,0
DR Briggs (ENG),7,1,1,0,0,0,0,0
AF Buurman (NL),4,2,0,0,4,2,0,0
PP Chawla (INDIA),7,1,0,0,1,1,0,0
DO Christian (WI),2,1,0,0,2,1,0,0
I Civric (Serb),1,1,0,0,1,1,0,0
S Dalton (CZK-R),3,1,0,0,1,1,0,0
N Dipakkumar Patel (PNM),3,1,0,0,0,1,0,0
JN Dorji (BHU),1,1,0,0,0,1,0,0
Ehsan Nawaz (HKG),5,1,0,0,2,1,0,0
M Faheem (THAI),4,1,0,0,2,1,0,0
Fakhrul Mohon (PORT),4,1,0,0,0,1,0,0
Fiaz Ahmad (KUW),3,1,1,0,0,0,0,0
GC Galanis (),2,1,0,0,1,1,0,0
Gershon Yusuf (NGA),1,1,0,0,1,1,0,0
L Gharasim (ROM),2,1,0,0,1,1,0,0
M Goonetilleke (MALTA),1,1,0,0,1,1,0,0
SM Harwood (AUS),3,1,1,0,0,0,0,0
T Henderson (SA),1,1,0,0,2,1,0,0
KC Hodsoll (BMUDA),1,1,0,0,1,1,0,0
Imran Khan (1) (PAK),3,1,0,0,1,1,0,0
P Kerai (KENYA),6,1,0,0,1,1,0,0
S Keshvani (CAN),2,1,1,0,1,0,0,0
RN Lewis (WI),1,1,0,0,4,1,0,0
CA Liyanage (Mald),2,2,1,0,1,1,0,0
K Loday (BHU),1,1,1,0,1,0,0,0
AJ McKay (NZ),2,1,0,0,1,1,0,0
GI Maiden (SCOT),3,1,0,0,1,1,0,0
OM Marshall (Peru),3,1,0,0,3,1,0,0
M Meade (Chile),1,1,0,0,2,1,0,0
A Mehmood (HKG),2,1,1,0,1,0,0,0
Michael Nazir (MALTA),1,1,0,0,2,1,0,0
TS Mills (ENG/ICC),5,1,0,0,2,1,0,0
A Mishra (INDIA),10,1,0,0,0,1,0,0
Mohameed Taiwo (NGA),2,1,1,0,0,0,0,0
Mohammad Kashif (NL),3,1,1,0,0,0,0,0
Mohammad Qazi (CAN),1,1,0,0,1,1,0,0
Mohammed Nadeem (QAT),15,2,2,0,1,0,0,0
HJC Mol (NL),4,1,0,0,1,1,0,0
JK Mukhiya (NEPAL),4,1,1,0,0,0,0,0
Musa Shaheen (DEN),1,1,0,0,3,1,0,0
T Muzarabani (ZIM),9,1,1,0,2,0,0,0
Naveed Ahmed (CZK-R),7,1,0,0,1,1,0,0
Nawaf Ahmed (KUW),1,1,1,0,0,0,0,0
A Nel (SA),2,1,1,0,2,0,0,0
AA Noffke (AUS),2,1,0,0,0,1,0,0
Noor Momand (Belg),2,1,1,0,0,0,0,0
L Nussbaumer (GUE),1,1,0,0,1,1,0,0
A Orfila (GIBR),1,1,0,0,2,1,0,0
MM Patel (INDIA),3,1,0,0,1,1,0,0
PDRL Perera (SL),2,2,2,0,0,0,0,0
T Phaswana (Botsw),1,1,0,0,3,1,0,0
Rahman Ademi (Serb),2,1,1,0,4,0,0,0
DM Richards (WI),1,1,0,0,1,1,0,0
R Rivas (Chile),3,1,0,0,1,1,0,0
Rumman Raees (PAK),8,1,1,0,0,0,0,0
NA Saini (INDIA),5,1,1,0,1,0,0,0
Sajid Liaqat (GER),2,1,1,0,0,0,0,0
K Santokie (WI),12,1,1,0,0,0,0,0
I Sawmy (DEN),2,2,1,0,2,1,0,0
Shaheen Shah Afridi (PAK),10,1,1,0,2,0,0,0
A Shahzad (ENG),3,1,1,0,3,0,0,0
Shakeel Ansar (PAK),2,1,0,0,1,1,0,0
T Shamsi (SA),16,3,2,0,5,1,0,0
B Shikongo (NAM),11,1,0,0,1,1,0,0
BA Simango (Moz),2,1,0,0,2,1,0,0
M Simmons (BMUDA),2,1,0,0,2,1,0,0
M Simpson-Parker (Aut),3,1,0,0,2,1,0,0
MS Sinclair (NZ),2,2,0,0,5,2,0,0
S Singh (PORT),1,1,0,0,9,1,0,0
L Sipamla (SA),5,1,0,0,1,1,0,0
S Soosiyakumar (),1,1,0,0,2,1,0,0
ES Soto (CRC),1,1,0,0,2,1,0,0
L Sreekumar (UAE),1,1,0,0,1,1,0,0
H Ssenyondo (UGA),4,1,1,0,0,0,0,0
Taijul Islam (BDESH),2,1,1,0,1,0,0,0
Ziaur Rehman (Fin),1,1,0,0,4,1,0,0
M Zondeki (SA),1,1,0,0,1,1,0,0
Zulqarnain Haider (ESP),5,1,0,0,0,1,0,0
YA Abdulla (SA),2,-,-,-,-,-,-,-
Abdur Rauf (PAK),1,-,-,-,-,-,-,-
RA Abolarin (NGA),1,-,-,-,-,-,-,-
F Achelam (UGA),1,-,-,-,-,-,-,-
GW Aldridge (NZ),1,-,-,-,-,-,-,-
TR Ambrose (ENG),1,-,-,-,-,-,-,-
A Anemogiannis (),1,-,-,-,-,-,-,-
S Aravind (INDIA),1,-,-,-,-,-,-,-
JC Archer (ENG),1,-,-,-,-,-,-,-
Arsalan Qadir (CAN),1,-,-,-,-,-,-,-
Asad Ali (PAK),2,-,-,-,-,-,-,-
Atif Ali Khan (UAE),1,-,-,-,-,-,-,-
P Awana (INDIA),2,-,-,-,-,-,-,-
LS Baker (WI),3,-,-,-,-,-,-,-
L Balaji (INDIA),5,-,-,-,-,-,-,-
JT Ball (ENG),2,-,-,-,-,-,-,-
S Bantzas (),1,-,-,-,-,-,-,-
TC Bastiampillai (CAN),2,-,-,-,-,-,-,-
MD Bates (NZ),3,-,-,-,-,-,-,-
D Bau (PNG),1,-,-,-,-,-,-,-
JP Behrendorff (AUS),7,-,-,-,-,-,-,-
CC Blake (VAN),3,-,-,-,-,-,-,-
N Boje (SA),1,-,-,-,-,-,-,-
SM Boland (AUS),3,-,-,-,-,-,-,-
CG Burnett (SCOT),1,-,-,-,-,-,-,-
DK Butler (WI),1,-,-,-,-,-,-,-
RD Chahar (INDIA),1,-,-,-,-,-,-,-
N Chejay (BHU),1,-,-,-,-,-,-,-
C Chete (MWI),2,-,-,-,-,-,-,-
SR Clark (AUS),9,-,-,-,-,-,-,-
MS Crane (ENG),2,-,-,-,-,-,-,-
D Daesrath (CAN),1,-,-,-,-,-,-,-
M de Lange (SA),6,-,-,-,-,-,-,-
SI de Saram (SL),1,-,-,-,-,-,-,-
BJ Diamanti (NZ),1,-,-,-,-,-,-,-
V Dikov (),3,-,-,-,-,-,-,-
K Dorji (BHU),2,-,-,-,-,-,-,-
PS Eaglestone (IRE),1,-,-,-,-,-,-,-
BT Foakes (ENG),1,-,-,-,-,-,-,-
BC Fortuin (SA),2,-,-,-,-,-,-,-
O Fournier (CRC),2,-,-,-,-,-,-,-
R Frylinck (SA),3,-,-,-,-,-,-,-
ST Gabriel (WI),2,-,-,-,-,-,-,-
Garret Banner (Blz),1,-,-,-,-,-,-,-
B Geeves (AUS),1,-,-,-,-,-,-,-
S Goud (CZK-R),1,-,-,-,-,-,-,-
D Gough (ENG),2,-,-,-,-,-,-,-
HF Gurney (ENG),2,-,-,-,-,-,-,-
Hamza Tahir (SCOT),11,-,-,-,-,-,-,-
SJ Harmison (ENG),2,-,-,-,-,-,-,-
RJ Hatchman (GIBR),1,-,-,-,-,-,-,-
JR Hazlewood (AUS),7,-,-,-,-,-,-,-
J Hurley (Arg),3,-,-,-,-,-,-,-
Ibrahim Khan (Saudi),1,-,-,-,-,-,-,-
Iftikhar Anjum (PAK),2,-,-,-,-,-,-,-
Imran Ashraf (QAT),3,-,-,-,-,-,-,-
D Jakiel (ZIM),2,-,-,-,-,-,-,-
Joginder Sharma (INDIA),4,-,-,-,-,-,-,-
GJ Joseph (Blz),1,-,-,-,-,-,-,-
Jubair Hossain (BDESH),1,-,-,-,-,-,-,-
TP Kamungozi (ZIM),1,-,-,-,-,-,-,-
M Kartik (INDIA),1,-,-,-,-,-,-,-
S Kaul (INDIA),3,-,-,-,-,-,-,-
UKPW Kumaranayaka (KUW),3,-,-,-,-,-,-,-
B Laughlin (AUS),3,-,-,-,-,-,-,-
E Leie (SA),2,-,-,-,-,-,-,-
RDM Leverock (BMUDA),2,-,-,-,-,-,-,-
ML Lewis (AUS),2,-,-,-,-,-,-,-
DSK Madushanka (SL),2,-,-,-,-,-,-,-
GT Main (SCOT),4,-,-,-,-,-,-,-
Mansoor Amjad (PAK),1,-,-,-,-,-,-,-
M Markande (INDIA),1,-,-,-,-,-,-,-
A Martin (WI),1,-,-,-,-,-,-,-
B Masaba (UGA),1,-,-,-,-,-,-,-
WT Mashinge (ZIM),2,-,-,-,-,-,-,-
GJ McCarter (IRE),3,-,-,-,-,-,-,-
SC Meaker (ENG),2,-,-,-,-,-,-,-
Mihusan Hamid (Mald),1,-,-,-,-,-,-,-
Mohammad Shahid (BDESH),1,-,-,-,-,-,-,-
Mohammed Shami (INDIA),8,-,-,-,-,-,-,-
Mohammed Siraj (INDIA),3,-,-,-,-,-,-,-
GMC Mol (NL),1,-,-,-,-,-,-,-
Muhammad Amir (MAL),1,-,-,-,-,-,-,-
Muhammad Musa (PAK),1,-,-,-,-,-,-,-
Mukhtiar Singh (ESP),2,-,-,-,-,-,-,-
Musawar Shah (QAT),2,-,-,-,-,-,-,-
M Mwamadi (MWI),3,-,-,-,-,-,-,-
M Nandela (Mex),2,-,-,-,-,-,-,-
Nasir Aziz (UAE),1,-,-,-,-,-,-,-
NH Naureen (ESP),1,-,-,-,-,-,-,-
Nawazish Jezuli (Saudi),1,-,-,-,-,-,-,-
P Negi (INDIA),1,-,-,-,-,-,-,-
A Neill (SCOT),5,-,-,-,-,-,-,-
R Ngarava (ZIM),1,-,-,-,-,-,-,-
G Nikitas (),2,-,-,-,-,-,-,-
F Nkhoma (MWI),4,-,-,-,-,-,-,-
A Nortje (SA),1,-,-,-,-,-,-,-
IE O'Brien (NZ),4,-,-,-,-,-,-,-
E Ochieng (KENYA),2,-,-,-,-,-,-,-
RJG Palmer (JER),2,-,-,-,-,-,-,-
MA Parker (SCOT),2,-,-,-,-,-,-,-
MW Parkinson (ENG),2,-,-,-,-,-,-,-
AY Patel (NZ),2,-,-,-,-,-,-,-
J Perman (ESP),2,-,-,-,-,-,-,-
V Permaul (WI),1,-,-,-,-,-,-,-
R Pisal (ROM),1,-,-,-,-,-,-,-
KTGD Prasad (SL),1,-,-,-,-,-,-,-
M Pushpakumara (SL),1,-,-,-,-,-,-,-
S Qeshile (SA),2,-,-,-,-,-,-,-
Raja Adeel (ESP),3,-,-,-,-,-,-,-
Rashid Khan (NEPAL),1,-,-,-,-,-,-,-
KA Reynolds (Blz),3,-,-,-,-,-,-,-
Robiul Islam (BDESH),1,-,-,-,-,-,-,-
Rokhan Barakzai (AFG),3,-,-,-,-,-,-,-
AK Sah (NEPAL),1,-,-,-,-,-,-,-
Sajedul Islam (BDESH),1,-,-,-,-,-,-,-
Saqlain Sajib (BDESH),1,-,-,-,-,-,-,-
JD Schoonheim (NL),1,-,-,-,-,-,-,-
K Senamontree (THAI),2,-,-,-,-,-,-,-
Shabbir Ahmed (PAK),1,-,-,-,-,-,-,-
Shaffeq Muhammad (),2,-,-,-,-,-,-,-
Sharif Asadullah (UAE),1,-,-,-,-,-,-,-
KV Sharma (INDIA),1,-,-,-,-,-,-,-
R Sharma (INDIA),2,-,-,-,-,-,-,-
NK Shetty (Mex),2,-,-,-,-,-,-,-
S Singh (PHI),4,-,-,-,-,-,-,-
Soheel Hussain (Belg),1,-,-,-,-,-,-,-
BB Sran (INDIA),2,-,-,-,-,-,-,-
H Srinivasan (GER),1,-,-,-,-,-,-,-
TJ Stephenson (Blz),1,-,-,-,-,-,-,-
P Syafiq Ali (MAL),2,-,-,-,-,-,-,-
Tanvir Ahmed (PAK),1,-,-,-,-,-,-,-
SN Thakur (INDIA),7,-,-,-,-,-,-,-
J Thinley (BHU),2,-,-,-,-,-,-,-
AC Thomas (SA),1,-,-,-,-,-,-,-
